holiday_name,holiday_year,actual_holiday_date,observed_holiday_date,has_separate_observed_date
New Year's Day,2017,2017-01-01,2017-01-02,TRUE
New Year's Day,2018,2018-01-01,2018-01-01,FALSE
New Year's Day,2019,2019-01-01,2019-01-01,FALSE
New Year's Day,2022,2022-01-01,2021-12-31,TRUE
New Year's Day,2023,2023-01-01,2023-01-02,TRUE
Birthday of Martin Luther King Jr.,2017,2017-01-16,2017-01-16,FALSE
Birthday of Martin Luther King Jr.,2018,2018-01-15,2018-01-15,FALSE
Birthday of Martin Luther King Jr.,2019,2019-01-21,2019-01-21,FALSE
Birthday of Martin Luther King Jr.,2022,2022-01-17,2022-01-17,FALSE
Birthday of Martin Luther King Jr.,2023,2023-01-16,2023-01-16,FALSE
Washington's Birthday,2017,2017-02-20,2017-02-20,FALSE
Washington's Birthday,2018,2018-02-19,2018-02-19,FALSE
Washington's Birthday,2019,2019-02-18,2019-02-18,FALSE
Washington's Birthday,2022,2022-02-21,2022-02-21,FALSE
Washington's Birthday,2023,2023-02-20,2023-02-20,FALSE
Memorial Day,2017,2017-05-29,2017-05-29,FALSE
Memorial Day,2018,2018-05-28,2018-05-28,FALSE
Memorial Day,2019,2019-05-27,2019-05-27,FALSE
Memorial Day,2022,2022-05-30,2022-05-30,FALSE
Memorial Day,2023,2023-05-29,2023-05-29,FALSE
Juneteenth National Independence Day,2022,2022-06-19,2022-06-20,TRUE
Juneteenth National Independence Day,2023,2023-06-19,2023-06-19,FALSE
Independence Day,2017,2017-07-04,2017-07-04,FALSE
Independence Day,2018,2018-07-04,2018-07-04,FALSE
Independence Day,2019,2019-07-04,2019-07-04,FALSE
Independence Day,2022,2022-07-04,2022-07-04,FALSE
Independence Day,2023,2023-07-04,2023-07-04,FALSE
Labor Day,2017,2017-09-04,2017-09-04,FALSE
Labor Day,2018,2018-09-03,2018-09-03,FALSE
Labor Day,2019,2019-09-02,2019-09-02,FALSE
Labor Day,2022,2022-09-05,2022-09-05,FALSE
Labor Day,2023,2023-09-04,2023-09-04,FALSE
Columbus Day,2017,2017-10-09,2017-10-09,FALSE
Columbus Day,2018,2018-10-08,2018-10-08,FALSE
Columbus Day,2019,2019-10-14,2019-10-14,FALSE
Columbus Day,2022,2022-10-10,2022-10-10,FALSE
Columbus Day,2023,2023-10-09,2023-10-09,FALSE
Veterans Day,2017,2017-11-11,2017-11-10,TRUE
Veterans Day,2018,2018-11-11,2018-11-12,TRUE
Veterans Day,2019,2019-11-11,2019-11-11,FALSE
Veterans Day,2022,2022-11-11,2022-11-11,FALSE
Veterans Day,2023,2023-11-11,2023-11-10,TRUE
Thanksgiving Day,2017,2017-11-23,2017-11-23,FALSE
Thanksgiving Day,2018,2018-11-22,2018-11-22,FALSE
Thanksgiving Day,2019,2019-11-28,2019-11-28,FALSE
Thanksgiving Day,2022,2022-11-24,2022-11-24,FALSE
Thanksgiving Day,2023,2023-11-23,2023-11-23,FALSE
Christmas Day,2017,2017-12-25,2017-12-25,FALSE
Christmas Day,2018,2018-12-25,2018-12-25,FALSE
Christmas Day,2019,2019-12-25,2019-12-25,FALSE
Christmas Day,2022,2022-12-25,2022-12-26,TRUE
Christmas Day,2023,2023-12-25,2023-12-25,FALSE
